Gene_Locus	OMIM Gene	Gene Effect	Variant(s)	Lethality Mode of Function	Coordinates (hg19)	Disease	OMIM Phenotype	Inheritance	System Affected	Prenatal Phenotypes	Fetal Sex	Human Evidence	PMID	1st trimester	2nd trimester	3rd trimester	Postnatal lethality
name: ADAMTS2; id: 9509;	604539	Maternal,Fetal	CNV,SNV	Undetermined	"{""id"":""chr5"",""data"":""178,537,854-178,772,462""}"	Ehlers-Danlos syndrome, dermatosparaxis type	225410	AR	CARDIOVASCULAR, PLACENTA	Prenatal and Neonatal demise, Cervical incompetency, Preterm birth, premature rupture of membranes 	M,F	Known	19152976; 8215497		x	x	
name: ADAMTSL2; id: 9719;	612277	Fetal	CNV,SNV	LoF	"{""id"":""chr9"",""data"":""136,397,286-136,440,641""}"	Geleophysic dysplasia 1, 231050 (3), Autosomal recessive	231050	AR	MULTIPLE >3	Pulmonary artery stenosis, Intrauterine growth retardation, Abnormal skull morphology, Polyhydramnios, Abnormal thumb morphology . Prenatal and Neonatal demise.	M,F	Known	36658419; 6507494; 2090119; 24014090				x
name: ADGRG6; id: 57211;	612243	Fetal	SNV		"{""id"":""chr6"",""data"":""142,623,144-142,767,398""}"	Lethal congenital contracture syndrome 9, 616503 (3), Autosomal recessive	616503	AR	MULTIPLE >3		M,F	Known	30993004; 26004201	x 	x	x	x
name: ADM; id: 133;	103275	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""10,305,073-10,307,397""}"					Spontaneous miscarriage	unknown	Candidate	37398382		x	x	x
name: ADSL; id: 158;	608222	Fetal	CNV,SNV	LoF	"{""id"":""chr22"",""data"":""40,742,504-40,783,531""}"	Adenylosuccinase deficiency, 103050 (3), Autosomal recessive	103050	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	17188615	x	x	x	x
name: AGK; id: 55750;	610345	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""141,251,210-141,355,044""}"	Sengers syndrome, 212350 (3), Autosomal recessive	212350	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	3789054; 30993004; 22284826;			x	x
name: AGT; id: 183;	106150	Fetal	SNV	LoF	"{""id"":""chr1"",""data"":""230838268_230850043""}"	Renal tubular dysgenesis	145500	AR	RENAL	Anhydramnios, bilateral echogenic kidneys. Prenatal and Neonatal demise.	M,F	Known	34645488; 6638071; 8705201; 9350819			x	x
name: AGTR1; id: 185;	106165	Fetal	SNV		"{""id"":""chr3"",""data"":""148,415,690-148,460,790""}"	Renal tubular dysgenesis, 267430 (3), Autosomal recessive	267430	AR	RENAL	oligohydramnios	M,F	Known	17036344; 30993004; 9856560; 6638071			x	x
name: AIFM1; id: 9131;	300169	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""129263336_129299861""}"	mitochondrial encephalopathy	300816	XLR	MULTIPLE >3	severe multisystem pathology, metabolic acidosis, and early demise. Prenatal and Neonatal demise.	M	Emerging	34117073		x	x	
name: AIMP1; id: 9255;	603605	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""107,236,701-107,270,613""}"	Leukodystrophy, hypomyelinating, 3, 260600 (3), Autosomal recessive	260600	AR	NEUROLOGIC		M,F	Known	30993004; 5898404				x
name: AK2; id: 204;	103020	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""33473540_33546597""}"	Reticular dysgenesis, 267500 (3), Autosomal recessive	267500	AR	NEUROLOGIC	recurrent failed implantation after IVF. Prenatal and Neonatal demise.	M	Known	34406647	x	x		
name: AKAP9; id: 10142;	604001	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""91570175_91739987""}"	long-QT-syndrome	613695	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Emerging	33762593; 31865890		x	x	
name: AKNA; id: 80709;	605729	Unknown	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""114,330,504-114,398,472""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: AKR1D1; id: 6718;	604741	Fetal	SNV		"{""id"":""chr7"",""data"":""137,761,205-137,803,051""}"	Bile acid synthesis defect, congenital, 2, 235555 (3), Autosomal recessive	235555	AR	METABOLIC	Spontaneous miscarriage	M,F	Known	30993004; 3198770				x
name: AKT2; id: 208;	164731	Fetal	CNV,SNV	LoF	"{""id"":""chr19"",""data"":""40,736,224-40,791,252""}"	Diabetes mellitus, type II, 125853 (3), Autosomal dominant, Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900 (3), Autosomal dominant	240900	AD	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 13952653		x	x	x
name: ALAS2; id: 212;	301300	Fetal	SNV	Undetermined	"{""id"":""chrX"",""data"":""55035487_55057497""}"	X-linked sideroblastic anaemia	300751	XLR	HEMATOPOETIC	Prenatal and Neonatal demise.	M	Emerging	27292130		x	x	
name: ALDH18A1; id: 5832;	138250	Fetal	SNV		"{""id"":""chr10"",""data"":""97,365,698-97,416,468""}"	Cutis laxa	616603; 219150	AD,AR	NEUROMUSCULAR	Prenatal and Neonatal demise.	M,F	Known	24913064; 30993004; 21739576		x	x	x
name: ALDH1A3; id: 220;	600463	Fetal	CNV,SNV	LoF	"{""id"":""chr15"",""data"":""101,420,036-101,456,831""}"	Microphthalmia, isolated 8, 615113 (3), Autosomal recessive	615113	AR	NEUROLOGIC		M,F	Known	23312594; 30993004				x
name: ALDH7A1; id: 501;	107323	Fetal	SNV		"{""id"":""chr5"",""data"":""125,877,533-125,930,911""}"	Epilepsy, pyridoxine-dependent, 266100 (3), Autosomal recessive	266100	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 3977296				x
name: ALG1; id: 56052;	605907	Unknown	CNV,SNV	LoF	"{""id"":""chr16"",""data"":""5,121,844-5,137,380""}"	Congenital disorder of glycosylation, type Ik	608540	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	14973782; 34567092		x	x	
name: ALG3; id: 10195;	608750	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""183960088_183967336""}"	Congenital disorder of glycosylation, type Id	601110	AR	NEUROLOGIC	Short chest, small mouth, long fingers with fixed flexion at rest, normal nail,  long toes, no neonatal teeth, and cloudy eye, skeletal survey suggest rhizomelia with short rib and arm, and mild platyspondyly, small penis \n. Prenatal and Neonatal demise.	M,F	Emerging	34645488; 38917675; 33187827; 32655146		x	x	x
name: ALG8; id: 79053;	608103	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""77,811,992-77,850,672""}"	Congenital disorder of glycosylation, type Ih	608104	AR	MULTIPLE >3	Prenatal and Neonatal demise, Hydrops fetalis	M,F	Known	26066342		x	x	
name: ALG9; id: 79796;	606941	Fetal	SNV		"{""id"":""chr11"",""data"":""111,652,919-111,742,305""}"	Congenital disorder of glycosylation, type Il, 608776 (3), Autosomal recessive, Gillessen-Kaesbach-Nishimura syndrome, 263210 (3), Autosomal recessive	263210	AR	METABOLIC	oligohydramnios, prenatal and peonatal demise.	M,F	Known	9426272; 30993004; 25966638			x	x
name: ALPL; id: 249;	171760	Fetal	SNV	Undetermined	"{""id"":""chr1"",""data"":""21835476_21904905""}"	Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant, Hypophosphatasia, childhood, 241510 (3), Autosomal recessive, Hypophosphatasia, infantile, 241500 (3), Autosomal recessive, Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant	146300	AD,AR	SKELETAL	skeletal dysplasia with severe hypomineralization. Prenatal and Neonatal demise.	M,F	Known	28749478				x
name: AMACR; id: 23600;	604489	Fetal	SNV		"{""id"":""chr5"",""data"":""33,986,270-34,008,155""}"	Alpha-methylacyl-CoA racemase deficiency, 614307 (3), Autosomal recessive, Bile acid synthesis defect, congenital, 4, 214950 (3), Autosomal recessive	214950	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 12512044; 5064535; 12512044			x	x
name: AMER1; id: 139285;	300647	Fetal	SNV		"{""id"":""chrX"",""data"":""63,404,997-63,425,588""}"	Osteopathia striata with cranial sclerosis, 300373 (3), X-linked dominant	300373	XLD	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 7004677; 9128936				x 
name: AMHR2; id: 269;	600956	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""53817638_53825456""}"		261550	AR		Prenatal and Neonatal demise.	M,F	Emerging	34406647		x	x	
name: AMT; id: 275;	238310	Fetal	SNV		"{""id"":""chr3"",""data"":""49,454,211-49,459,906""}"	Glycine encephalopathy, 605899 (3), Autosomal recessive	605899	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 1537368		x	x	
name: ANGPT2; id: 285;	601922	Fetal	SNV	Undetermined	"{""id"":""chr8"",""data"":""6357153_6420930""}"	Hydrops fetalis	619369	AD	METABOLIC	Severe hydrops with hydrothorax, hypoplastic lungs, bell-shaped thorax, short long bones, hydropic placenta. Prenatal and Neonatal demise.	M,F	Emerging	34876502		x	x	
name: ANK1; id: 286;	612641	Fetal	SNV		"{""id"":""chr8"",""data"":""41,510,744-41,754,259""}"	Spherocytosis, type 1, 182900 (3), Autosomal dominant	182900	AD	HEMATOPOETIC	Fetal anemia, Prenatal and Neonatal demise.	M,F	Known	30993004; 26589360				x
name: ANK2; id: 287;	106410	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""113627173_114304896""}"	sudden unexpected death syndrome	600919	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	33762593; 31865890	x	x	x	x
name: ANKRD17; id: 26057;	615929	Unknown	CNV,SNV	Undetermined	"{""id"":""chr4"",""data"":""73,073,376-73,258,798""}"	Chopra-Amiel-Gordon syndrome	619504	AD		Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: ANOS1; id: 3730;	300836	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""8,496,915-8,700,178""}"	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1), 308700 (3), X-linked recessive	308700	XLR	REPRODUCTIVE		M	Known	30993004; 7820942			x	x
name: ANTXR2; id: 118429;	608041	Fetal	CNV,SNV	LoF	"{""id"":""chr4"",""data"":""80822299_81046608""}"	Hyaline fibromatosis syndrome	228600	AR	METABOLIC	arthrogryposis, developmental dysplasia of the hip\n. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: AP1S1; id: 1174;	603531	Fetal	SNV		"{""id"":""chr7"",""data"":""100,797,757-100,804,557""}"	MEDNIK syndrome	609313	AR	MULTIPLE >3		M,F	Known	30993004; 4342731				x
name: APAF1; id: 317;	602233	Fetal	SNV	Undetermined	"{""id"":""chr12"",""data"":""99038918_99129211""}"					Prenatal and Neonatal demise.	M,F	Emerging	31273585		x	x	
name: ARG1; id: 383;	608313	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""131,894,366-131,905,469""}"	Argininemia, 207800 (3), Autosomal recessive	207800	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 2913054				x
name: ARHGAP31; id: 57514;	610911	Fetal	CNV,SNV	LoF	"{""id"":""chr3"",""data"":""119,013,230-119,139,561""}"	Adams-Oliver syndrome 1, 100300 (3), Autosomal dominant	100300	AD	MULTIPLE >3		M,F	Known	30993004; 3354598			x	x
name: ARID1B; id: 57492;	614556	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""157097153_157531913""}"	Coffin-Siris syndrome 1	135900	AD	MULTIPLE >3	cardiac defect with hydrops fetalis, maybe hydroplastic left heart, hydroplastic L heart with premature closure, distended abdomen with ascites. Prenatal and Neonatal demise.	M,F	Known	32786180	x	x	x	
name: ARL13B; id: 200894;	608922	Fetal	SNV	Undetermined	"{""id"":""chr3"",""data"":""93698982_93774522""}"	Joubert syndrome	612291	AR		Retinal dystrophy, developmental delay, normal kidneys, bilateral hypermetropia, and molar tooth sign on MRI. . Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: ARSL; id: 415;	300180	Fetal	CNV,SNV	Undetermined	"{""id"":""chrX"",""data"":""2852561_2886286""}"	Chondrodysplasia punctata, X-linked recessive 	302950	X-linked	MULTIPLE >3	Second trimester fetal demise.	M	Emerging	36658419		x		
name: ARV1; id: 64801;	611647	Fetal	SNV		"{""id"":""chr1"",""data"":""231,114,840-231,136,479""}"	Epileptic encephalopathy, early infantile, 38, 617020 (3), Autosomal recessive	617020	AR	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 27270415; 32165008				x
name: ARX; id: 170302;	300382	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""25,021,811-25,034,082""}"	Hydranencephaly with abnormal genitalia; Lissencephaly	300215; 300004	XLR	NEUROLOGIC	Prenatal and Neonatal demise.	M	Known	30993004; 10982975				x
name: ASCC1; id: 51008;	614215	Fetal	SNV	LoF	"{""id"":""chr10"",""data"":""73855789_73976892""}"	Spinal muscular atrophy with congenital bone fractures	616867	AR	MULTIPLE >3	fetal akinesia; hydrops. Prenatal and Neonatal demise.	M,F	Known	28749478; 26924529		x	x	x
name: ASNS; id: 440;	108370	Fetal	SNV	Undetermined	"{""id"":""chr7"",""data"":""97480988_97557753""}"	Asparagine synthetase deficiency	615574	AR	METABOLIC	Microcephaly, global brain atrophy. Prenatal and Neonatal demise.	M,F	Known	34645488		x	x	
name: ASPA; id: 443;	608034	Fetal	CNV,SNV	LoF	"{""id"":""chr17"",""data"":""3,474,110-3,503,405""}"	Canavan disease	271900	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	12638939				x
name: ASS1; id: 445;	603470	Fetal	SNV		"{""id"":""chr9"",""data"":""133,320,094-133,376,661""}"	Citrullinemia, 215700 (3), Autosomal recessive	215700	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 15334737				x
name: ASXL1; id: 171023;	612990	Fetal	CNV,SNV	LoF	"{""id"":""chr20"",""data"":""30,946,134-31,027,122""}"	Bohring-Opitz syndrome, 605039 (3), Autosomal dominant	605039	AD	MULTIPLE >3		M,F	Known	21706002; 30993004		x	x	x
name: ATL1; id: 51062;	606439	Fetal	SNV	Undetermined	"{""id"":""chr14"",""data"":""50999226_51099786""}"	pure hereditary spastic paraplegia (HSP)	182600	AD	NEUROLOGIC	Prenatal and Neonatal demise.	M,F	Emerging	26600529		x	x	
name: ATP7A; id: 538;	300011	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""77,166,190-77,305,892""}"	Menkes disease	309400	XLR	MeTABOLIC		M	Known	9894833; 31279518; 5829335; 22462346	x	x	x	x
name: ATP7B; id: 540;	606882	Fetal	SNV	Undetermined	"{""id"":""chr13"",""data"":""52,506,806-52,585,630""}"	Wilson disease	277900	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	33100332		x	x	
name: ATR; id: 545;	601215	Unknown	CNV,SNV	Undetermined	"{""id"":""chr3"",""data"":""142,449,235-142,578,733""}"	Seckel syndrome	614564; 210600	AR	MULTIPLE >3	Spontaneous miscarriage	unknown	Candidate	37398382	x			
name: ATRX; id: 546;	300032	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""76,760,358-77,041,702""}"	Alpha-thalassemia/mental retardation syndrome, 301040 (3), X-linked dominant, Mental retardation-hypotonic facies syndrome, X-linked, 309580 (3), X-linked recessive	309580	XLR	HEMATOPOETIC		M	Known	30993004; 19444090; 11050622				x
name: AURKB; id: 9212;	604970	Maternal	SNV	LoF	"{""id"":""chr17"",""data"":""8,108,049-8,113,944""}"	Pregnancy loss, recurrent		AR	REPRODUCTIVE	recurrent aneuploidy. Prenatal and Neonatal demise.	M,F	Candidate	28369513	x	x		
name: B3GALT6; id: 126792;	615291	Fetal	CNV,SNV	LoF	"{""id"":""chr1"",""data"":""1,167,617-1,170,421""}"	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive	271640	AR	MUSCULAR		M,F	Known	30993004; 15602085; 25149931				x
name: B3GAT3; id: 26229;	606374	Fetal	SNV	Undetermined	"{""id"":""chr11"",""data"":""62382767_62389647""}"	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects	245600	AR	SKELETAL	Bowing of the long bones, Short long bone, Aplasia/Hypoplasia of the sacrum, Abnormal ossification of the pubic bone, Platyspondyly, Poorly ossified cervical vertebrae, Short ribs . Prenatal and Neonatal demise.	M,F	Known	36658419	x	x		
name: B4GALT7; id: 11285;	604327	Fetal	SNV	Undetermined	"{""id"":""chr5"",""data"":""177027100_177037348""}"	skeletal dysplasia	130070	AR	MULTIPLE >3	multiple congenital anomalies. Prenatal and Neonatal demise.	M,F	Emerging	31278392		x	x	x
name: B4GAT1; id: 11041;	605517	Fetal	SNV	LoF	"{""id"":""chr11"",""data"":""66112844_66115100""}"	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13	615287	AR	MULTIPLE >3	Occipital encephalocele, polycystic kidneys, no polydactyly, and arthrogryposis multiplex.. Prenatal and Neonatal demise.	M,F	Known	34645488	x			
name: BAZ1A; id: 11177;	605680	Fetal	CNV,SNV	Undetermined	"{""id"":""chr14"",""data"":""35221936_35344853""}"					Prenatal and Neonatal demise.	M,F	Emerging	34756330		x	x	
name: BBS1; id: 582;	209901	Unknown	CNV,SNV	Undetermined	"{""id"":""chr11"",""data"":""66,510,635-66,533,598""}"	Bardet-Biedl syndrome 1	209900	AR,Digenic recessive	MULTIPLE >3	Spontaneous miscarriage	unknown	Candidate	37398382	x	x		
name: BBS10; id: 79738;	610148	Fetal	CNV,SNV	LoF	"{""id"":""chr12"",""data"":""76738253_76742222""}"	Bardet-Biedl syndrome 10.	615987	AR	MULTIPLE >3	Abdominal ascites, small short ribs, narrow chest, polydactyly of the hand and feet.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: BBS5; id: 129880;	603650	Fetal	SNV	LoF	"{""id"":""chr2"",""data"":""170335687_170382432""}"	Bardet-Biedl syndrome 5.	615983	AR	MULTIPLE >3	Severe polyhydramnios, absent stomach, and multiple contracture deformities.. Prenatal and Neonatal demise.	M,F	Emerging	34645488		x		
name: BCKDHA; id: 593;	608348	Fetal	SNV		"{""id"":""chr19"",""data"":""41,903,723-41,930,907""}"	Maple syrup urine disease, type Ia, 248600 (3), Autosomal recessive	248600	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	6015521; 30993004; 17764081				x
name: BCKDHB; id: 594;	248611	Fetal	CNV,SNV	LoF	"{""id"":""chr6"",""data"":""80,106,610-80,466,676""}"	Maple syrup urine disease, type Ib	248600	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	25381949; 28197878; 36874425		x	x	x
name: BCOR; id: 54880;	300485	Fetal	CNV,SNV	LoF	"{""id"":""chrX"",""data"":""39909067_40036582""}"	Lenz microphthalmia syndrome	300166	XLD	MULTIPLE >3	cardiac defects, anophthalmia. Prenatal and Neonatal demise.	M,F	Known	23815237	x	x	x	
name: BCS1L; id: 617;	603647	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""219523486_219528166""}"	GRACILE syndrome; Mitochondrial complex III deficiency, nuclear type 1	603358; 124000	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Emerging	34645488		x	x	
name: BLTP1; id: 84162;	611565	Fetal	SNV	Undetermined	"{""id"":""chr4"",""data"":""123,073,486-123,283,907""}"	Alkuraya-Kucinskas syndrome	617822	AR	MULTIPLE >3	Hydrocephalus, hypoplastic cerebellum, skin edema, bilateral talipes equinovarus, spina bifida and polyhydramnios.. Second trimester fetal demise.	M,F	Known	33100332		x	x	
name: BMPER; id: 168667;	608699	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""33,944,527-34,196,039""}"	Diaphanospondylodysostosis, 608022 (3), Autosomal recessive	608022	AR	MULTIPLE >3		M,F	Known	30993004; 15988748				x
name: BMPR2; id: 659;	600799	Fetal	CNV,SNV	LoF	"{""id"":""chr2"",""data"":""203,241,050-203,432,472""}"	Pulmonary hypertension, familial primary, 1, with or without HHT, 178600 (3), Autosomal dominant, Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated, 178600 (3), Autosomal dominant, Pulmonary venoocclusive disease 1, 265450 (3), Autosomal dominant	265450	AD	CARDIOVASCULAR	Prenatal and Neonatal demise.	M,F	Known	30993004; 601742; 24037626	x	x	x	x
name: BOD1; id: 91272;	616745	Unknown	CNV,SNV	Undetermined	"{""id"":""chr5"",""data"":""173,607,145-173,616,650""}"					Spontaneous miscarriage	unknown	Candidate	37398382				x
name: BOLA3; id: 388962;	613183	Fetal	SNV		"{""id"":""chr2"",""data"":""74,362,527-74,375,039""}"	Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia, 614299 (3), Autosomal recessive	614299	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 33574353				x
name: BRAF; id: 673;	164757	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""140419126_140624729""}"	Cardiofaciocutaneous syndrome	211980	AD	CARDIOVASCULAR	nonimmune hydrops fetalis. Prenatal and Neonatal demise.	M,F	Emerging	33027564; 789005; 2596505; 31336229	x	x	x	x
name: BRAT1; id: 221927;	614506	Fetal	CNV,SNV	LoF	"{""id"":""chr7"",""data"":""2,577,444-2,595,158""}"	Rigidity and multifocal seizure syndrome, lethal neonatal, 614498 (3), Autosomal recessive	614498	AR	MULTIPLE >3		M,F	Known	22279524; 25319849; 35360849				x
name: BUB1B; id: 701;	602860	Fetal	CNV,SNV	LoF	"{""id"":""chr15"",""data"":""40,453,270-40,513,324""}"	Mosaic variegated aneuploidy syndrome 1, 257300 (3), Autosomal recessive	257300	AR	MULTIPLE >3	Prenatal and Neonatal demise.	M,F	Known	30993004; 9677059; 39030352	x	x	x	x
name: C1QBP; id: 708;	601269	Fetal	SNV		"{""id"":""chr17"",""data"":""5,336,097-5,342,475""}"	Combined oxidative phosphorylation deficiency 33, 617713 (3), Autosomal recessive	617713	AR	METABOLIC	Prenatal and Neonatal demise.	M,F	Known	30993004; 28942965; 33977026	x	x	x	x
name: CACNA1B; id: 774;	601012	Unknown	CNV,SNV	Undetermined	"{""id"":""chr9"",""data"":""137,877,782-138,124,619""}"	Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements	618497	AR		Spontaneous miscarriage	unknown	Candidate	37398382				x
